accountid,name,classification,classification_label
dbdd0b93-4a1b-4848-b83a-39352f6b2e7a,New Hope Ministries,1,Food Bank
e34a47d9-df94-f111-b8dc-000d3a340c29,Nittany Valley Farm Partners,126490001,Farm
6d8bf7d6-1a5a-f111-a826-00224805f122,Northampton County Food Pantry Network,1,Food Bank
68b1bcbb-145a-f111-a825-00224805f705,Northern Dauphin Food Pantry,1,Food Bank
e3b45d9d-f94e-f111-bec6-00224805f122,Northumberland Poultry Cooperative,126490001,Farm
a0d558e7-135a-f111-a825-00224805f705,Penn Dutch Protein Farms,126490001,Farm
1dd658e7-135a-f111-a825-00224805f705,Perry County Food Bank,1,Food Bank
d672dc69-145a-f111-a825-00224805f705,Philabundance,1,Food Bank
87a52514-f35d-f111-a826-00224805f8a7,Potter County Food Pantry Network,1,Food Bank
616bf4a9-195a-f111-a826-00224805f122,Schuylkill County Food Pantry Network,1,Food Bank
43c7213c-ee94-f111-b8dc-000d3a340c29,Share Food Program,1,Food Bank
a4cea450-cb0c-ea11-a813-000d3a1b1223,Snyder County Egg Producers,126490001,Farm
1bcd6f3c-ee94-f111-b8dc-000d3a3408fb,Somerset County Food Pantry Network,1,Food Bank
cbd758e7-135a-f111-a825-00224805f705,Sullivan County Food Pantry Network,1,Food Bank
e35901bf-195a-f111-a826-00224805f122,Susquehanna Poultry Cooperative,126490001,Farm
fc6cd086-125a-f111-a825-7ced8d711c90,Susquehanna Poultry Cooperative,126490001,Farm
c20251ed-135a-f111-a825-00224805f705,Tioga County Food Pantry Network,1,Food Bank
f46cd086-125a-f111-a825-7ced8d711c90,Twin Valley Poultry Farms,126490001,Farm
fe6cd086-125a-f111-a825-7ced8d711c90,Union County Food Pantry Network,1,Food Bank
aa1969ee-145a-f111-a825-00224805f705,Venango County Food Pantry Network,1,Food Bank
45c7213c-ee94-f111-b8dc-000d3a340c29,Warren County Food Pantry Network,1,Food Bank
41c7213c-ee94-f111-b8dc-000d3a340c29,Water Street Mission Food Distribution,1,Food Bank
769a61e1-135a-f111-a825-00224805f705,Wyoming County Food Pantry Network,1,Food Bank
88cea450-cb0c-ea11-a813-000d3a1b1223,York County Food Bank,1,Food Bank
026dd086-125a-f111-a825-7ced8d711c90,York Heritage Farms,126490001,Farm
