accountid,name,classification,classification_label
f64cd9b8-195a-f111-a826-00224805f122,Feeding Westchester,1,Food Bank
219b61e1-135a-f111-a825-00224805f705,Food Bank For New York City,1,Food Bank
280251ed-135a-f111-a825-00224805f705,Food Bank for the Heartland,1,Food Bank
bdc7213c-ee94-f111-b8dc-000d3a340c29,Food Bank of Central and Eastern North Carolina,1,Food Bank
54ac148d-b65e-f111-a826-00224805fad6,Food Bank of Delaware,1,Food Bank
046dd086-125a-f111-a825-7ced8d711c90,Food Bank of Eastern Oklahoma,1,Food Bank
abbe8620-eb5d-f111-a826-00224805f8a7,Food Bank of Iowa,1,Food Bank
42d758e7-135a-f111-a825-00224805f705,Food Bank of Northern Nevada,1,Food Bank
a6d658e7-135a-f111-a825-00224805f705,Food Bank of South Jersey,1,Food Bank
fc1d1f68-1f6c-f111-ab0f-00224805f8ba,Food Bank of the Rockies,1,Food Bank
9abebc72-8966-f111-ab0d-00224805fad6,Food Bank of the Southern Tier,1,Food Bank
6cd758e7-135a-f111-a825-00224805f705,Food Gatherers,1,Food Bank
e34a47d9-df94-f111-b8dc-000d3a340c29,Food Lifeline,1,Food Bank
bb0154bd-1a5a-f111-a826-00224805f122,Foodbank of Southeastern Virginia and the Eastern Shore,1,Food Bank
dcd574d1-635f-f111-a826-00224805fc48,Foodlink,1,Food Bank
aba5c66e-ed5d-f111-a826-00224805f8a7,Forgotten Harvest,1,Food Bank
cbd758e7-135a-f111-a825-00224805f705,Franklin County Protein Farms,126490001,Farm
b7f4ca47-826b-f111-9b47-6045bd484aff,Frederick County Food Bank,1,Food Bank
eb196d81-187a-f111-ab0e-000d3a3408fb,Freestore Foodbank,1,Food Bank
88cea450-cb0c-ea11-a813-000d3a1b1223,Garden State Egg Cooperative,126490001,Farm
8c0251ed-135a-f111-a825-00224805f705,Gleaners Community Food Bank,1,Food Bank
9a7ed133-eb5d-f111-a826-00224805f8a7,Gods Pantry Food Bank,1,Food Bank
64d858e7-135a-f111-a825-00224805f705,Golden Harvest Food Bank,1,Food Bank
51351a42-ee94-f111-b8dc-000d3a340c29,Good Shepherd Food Bank,1,Food Bank
416297b3-d86f-f111-9b48-000d3a3d3872,Greater Boston Food Bank,1,Food Bank
340251ed-135a-f111-a825-00224805f705,Greater Chicago Food Depository,1,Food Bank
ce9961e1-135a-f111-a825-00224805f705,Greater Cleveland Food Bank,1,Food Bank
c89961e1-135a-f111-a825-00224805f705,Greater Pittsburgh Community Food Bank,1,Food Bank
cc9961e1-135a-f111-a825-00224805f705,Greater Washington County Food Bank,1,Food Bank
aa1969ee-145a-f111-a825-00224805f705,Happy Valley Cage-Free Farms,126490001,Farm
c4b1c6fe-ed6b-f111-9b47-6045bd484aff,Harvest Hope Food Bank,1,Food Bank
ef59d033-195a-f111-a826-00224805f122,Harvesters Community Food Network,1,Food Bank
e9cc6f3c-ee94-f111-b8dc-000d3a3408fb,Helping Harvest Food Bank,1,Food Bank
d0feb6cd-135a-f111-a825-00224805f705,Hershey Food Bank and Community Outreach,1,Food Bank
f44f1505-5d6e-f111-9b47-6045bd484aff,Houston Food Bank,1,Food Bank
569a61e1-135a-f111-a825-00224805f705,Idaho Foodbank,1,Food Bank
87a52514-f35d-f111-a826-00224805f8a7,Juniata River Family Farms,126490001,Farm
68b1bcbb-145a-f111-a825-00224805f705,Keystone Cage-Free Farms,126490001,Farm
729a61e1-135a-f111-a825-00224805f705,Lancaster County Food Hub,1,Food Bank
6d8bf7d6-1a5a-f111-a826-00224805f122,Lancaster Valley Egg Farms,126490001,Farm
616bf4a9-195a-f111-a826-00224805f122,Lebanon County Poultry Farms,126490001,Farm
38d658e7-135a-f111-a825-00224805f705,Lowcountry Food Bank,1,Food Bank
e0b69c45-d569-f111-ab0e-00224805f8ba,Manna Food Center,1,Food Bank
b1d658e7-135a-f111-a825-00224805f705,Manna FoodBank,1,Food Bank
b9c7213c-ee94-f111-b8dc-000d3a340c29,Maryland Food Bank,1,Food Bank
abd658e7-135a-f111-a825-00224805f705,Mid-Ohio Food Collective,1,Food Bank
f9d758e7-135a-f111-a825-00224805f705,Mid-South Food Bank,1,Food Bank
a4cea450-cb0c-ea11-a813-000d3a1b1223,Mifflin Ridge Egg Co-op,126490001,Farm
e5137bce-8663-f111-ab0d-00224805f8ba,New Hampshire Food Bank,1,Food Bank
5dd558e7-135a-f111-a825-00224805f705,New Hope Ministries,1,Food Bank
e35901bf-195a-f111-a826-00224805f122,Nittany Valley Farm Partners,126490001,Farm
e7e654a3-195a-f111-a826-00224805f122,North Texas Food Bank,1,Food Bank
74d558e7-135a-f111-a825-00224805f705,Northern Illinois Food Bank,1,Food Bank
fe6cd086-125a-f111-a825-7ced8d711c90,Northumberland Poultry Cooperative,126490001,Farm
3fd758e7-135a-f111-a825-00224805f705,Oregon Food Bank,1,Food Bank
a0d558e7-135a-f111-a825-00224805f705,Penn Dutch Protein Farms,126490001,Farm
3db6fe37-636a-f111-ab0e-00224805fad6,Philabundance,1,Food Bank
055e7839-ee94-f111-b8db-000d3a340666,Regional Food Bank of Northeastern New York,1,Food Bank
00d658e7-135a-f111-a825-00224805f705,Regional Food Bank of Oklahoma,1,Food Bank
b7c7213c-ee94-f111-b8dc-000d3a340c29,Rhode Island Community Food Bank,1,Food Bank
4ad758e7-135a-f111-a825-00224805f705,Roadrunner Food Bank,1,Food Bank
dbd758e7-135a-f111-a825-00224805f705,San Antonio Food Bank,1,Food Bank
4cf16c1c-e96b-f111-ab0f-00224805fc48,Second Harvest Food Bank of Central Florida,1,Food Bank
6027f9e2-1a5a-f111-a826-00224805f122,Second Harvest Food Bank of Lehigh Valley and Northeast Pennsylvania,1,Food Bank
93d558e7-135a-f111-a825-00224805f705,Second Harvest Food Bank of Metrolina,1,Food Bank
00d858e7-135a-f111-a825-00224805f705,Second Harvest Food Bank of Middle Tennessee,1,Food Bank
199b61e1-135a-f111-a825-00224805f705,Second Harvest Heartland,1,Food Bank
dbdd0b93-4a1b-4848-b83a-39352f6b2e7a,Second Harvest Inland Northwest,1,Food Bank
034e0f94-b05e-f111-a826-00224805f03e,Share Food Program,1,Food Bank
026dd086-125a-f111-a825-7ced8d711c90,Shenandoah Valley Egg Producers,126490001,Farm
f46cd086-125a-f111-a825-7ced8d711c90,Snyder County Egg Producers,126490001,Farm
549a61e1-135a-f111-a825-00224805f705,St. Louis Area Foodbank,1,Food Bank
cae1e1e1-2361-f111-ab0c-00224805fc48,St. Marys Food Bank,1,Food Bank
e3b45d9d-f94e-f111-bec6-00224805f122,Susquehanna Poultry Cooperative,126490001,Farm
d3feb6cd-135a-f111-a825-00224805f705,Tarrant Area Food Bank,1,Food Bank
fc6cd086-125a-f111-a825-7ced8d711c90,Twin Valley Poultry Farms,126490001,Farm
70935066-d569-f111-ab0e-00224805f8ba,Utah Food Bank,1,Food Bank
4356b259-195a-f111-a826-00224805f122,Vermont Foodbank,1,Food Bank
7222d402-f55d-f111-a826-00224805f2e4,Water Street Mission Food Distribution,1,Food Bank
d092cbd9-bb5e-f111-a826-00224805fad6,Weinberg Northeast Regional Food Bank,1,Food Bank
04a84fee-9992-f111-b8dc-000d3a340079,Westmoreland Food Bank,1,Food Bank
d5d658e7-135a-f111-a825-00224805f705,Wichita Falls Area Food Bank,1,Food Bank
006dd086-125a-f111-a825-7ced8d711c90,York County Food Bank,1,Food Bank
43c7213c-ee94-f111-b8dc-000d3a340c29,York Heritage Farms,126490001,Farm
