(Do Not Modify) Account,(Do Not Modify) Row Checksum,(Do Not Modify) Modified On,Account Name,Main Phone,City,Street 1,Street 2,State/Province,County,Country/Region,Business Type
7222d402-f55d-f111-a826-00224805f2e4,LbPV+0B9axQ0swdk++e8NS9b3Wg/KcIH0ugHRGuiCypeKT8gM/jUSP6SvAbDQ9GL+tCe107cxocCXkkxE2mI3A==,2026-08-10 20:49:02,Water Street Mission Food Distribution,(811) 7942500,Lancaster,210 S Prince Street,,PA,Lancaster,United States,Non-Profit
54ac148d-b65e-f111-a826-00224805fad6,rWK7Yeujm57GrcwiUj86T14IoyiWYUkCwKqTMUg9k4C7cBCSJszMi10CPwG+mJ+9TBKDhQhTE9kZcKK+cvY6eA==,2026-08-10 20:48:25,Food Bank of Delaware,+1 505 427 8987,Newark,222 Lake Drive,,DE,New Castle,United States,Non-Profit
b9c7213c-ee94-f111-b8dc-000d3a340c29,KGbQ8xzi9jR06CLINE8tyO1+wbnhkKlRuAXxVXkkSIgdGUbayWwuuysqJsbtXcdrLaV/ibRlVvUMc+OATAFe1w==,2026-08-10 20:39:10,Maryland Food Bank,,Baltimore,2200 Halethorpe Farms Road,,MD,Baltimore,United States,Non-Profit
669ddb12-ba91-f111-b8dc-000d3a340c29,VE1AC9F1T/MfsmOXHGu9noPrrJk9TFm1k81M20TxA7F4kOkHZcR9+um6Sbfpb0bfQoYXjQpC7sPPuOh4CEaN0g==,2026-08-10 20:39:10,Central Pennsylvania Food Bank,717-564-1700,Harrisburg,3908 Corey Road,,PA,Dauphin,United States,Non-Profit
a6d658e7-135a-f111-a825-00224805f705,/z+3yAnRvSUzmKIfMwvFHeQlcLOOQd9Gs8mSycOSL1OwMRxD2sokzzQZ0Oc7lmWG/Tyr5IsKZm6kdi8R1g6dTQ==,2026-08-10 20:49:41,Food Bank of South Jersey,(963) 3269812,Pennsauken,1501 John Tipton Boulevard,,NJ,Camden,United States,Non-Profit
d1feb6cd-135a-f111-a825-00224805f705,s03vQdgCBckjy8vxGK+HdfO/zUssn+Nn504FhhqJWtSW5i8hQR03oBOc2ygHpTTNpr8Lc21UJvKMo1ufSAKd/g==,2026-08-10 20:47:45,Community FoodBank of New Jersey,(277) 297-2879,Hillside,31 Evans Terminal,,NJ,Union,United States,Non-Profit
f26cd086-125a-f111-a825-7ced8d711c90,0bgnJ7Du1qPFzuY6cZkaTbxqNHmk8jZYh8NX0seK5yTioqlqu/D+smzGJ63Pmc4sgpG3TpNOIclRCBpZXK1Igw==,2026-08-10 20:49:41,Capital Area Food Bank,(939) 4631107,Washington,4900 Puerto Rico Avenue NE,,DC,District of Columbia,United States,Non-Profit
b7f4ca47-826b-f111-9b47-6045bd484aff,1YRSJTmhtByF44mcd87AgL+RySZVP6mwAyLR+42LTG3hVdh4eZNbgKTW72nHco4siLTBMxw/9N/W7gdI+KtU5w==,2026-08-10 20:47:46,Frederick County Food Bank,,Frederick,14 E All Saints Street,,MD,Frederick,United States,Non-Profit
c89961e1-135a-f111-a825-00224805f705,OjdAjAuDvsiFTo1yNo0BMJqtRpYFLNmfnDDFGw2JcMwS/CTfLkLFTTrXFk2p0rbtNSdgcy/yjYsnAVaAufLfTQ==,2026-08-10 20:49:41,Greater Pittsburgh Community Food Bank,(803) 8281854,Duquesne,1 N Linden Street,,PA,Allegheny,United States,Non-Profit
cc9961e1-135a-f111-a825-00224805f705,TlfUHgdNmyScnTe55zbzhWooymCM5S2gdocYBguA843aL+8cQQjTWvF3KXcYMkDsB+HwBbsV7ymte7TR4s1pRA==,2026-08-10 20:47:46,Greater Washington County Food Bank,(818) 7981100,Brownsville,909 National Pike W,,PA,Washington,United States,Non-Profit
6027f9e2-1a5a-f111-a826-00224805f122,FWS9J5+HFroV2rZnnxydwN3ZUCYQRbyRQ6Dgak3B85EOCQ7Qa0AQAyByQqUZ7Sj/wEZyMBdBv/Ww172rvONSUA==,2026-08-10 20:49:41,Second Harvest Food Bank of Lehigh Valley and Northeast Pennsylvania,(773) 6890177,Nazareth,6969 Silver Crest Road,,PA,Northampton,United States,Non-Profit
d092cbd9-bb5e-f111-a826-00224805fad6,AUjAGoTsVHUVVmP0YEl1+U7OyJXknD8aQHPlxvvJrom7nrvNCD0LBm3u9/0Cucw9Sf9YEXV2+fdT4qlyRu4auQ==,2026-08-10 20:47:45,Weinberg Northeast Regional Food Bank,+39 380 558 4005,Pittston,185 Research Drive,,PA,Luzerne,United States,Non-Profit
04a84fee-9992-f111-b8dc-000d3a340079,YMQpylXAFK0QYm0hdk/HNRgc1ysKYFvyNwgeIkP4l0B79iYQlbB36sv86g7lwjTGCzQEKymU8yTPjJBJREszgg==,2026-08-10 20:39:11,Westmoreland Food Bank,800-123-1231,Delmont,100 Devonshire Drive,,PA,Westmoreland,United States,Non-Profit
ce9961e1-135a-f111-a825-00224805f705,C4NUDpjbeKkO8QTOEklvDJfhNPJOvPwyW3vty9fbBc9Jg+DhBNpR2uOBJr2cupsxq3VDv5a4IZIEqfl1PYDV5w==,2026-08-10 20:47:46,Greater Cleveland Food Bank,(626) 1481272,Cleveland,13815 Coit Road,,OH,Cuyahoga,United States,Non-Profit
abd658e7-135a-f111-a825-00224805f705,6n3MEA9eB24aaFcCnh5FdqQ4jQPFEiNYngokAJXYqxuMnaic8vdCpiXAXmX+ksIq792U3yAuG8mrck4OCZrpEw==,2026-08-10 20:47:46,Mid-Ohio Food Collective,(182) 2336966,Grove City,3960 Brookham Drive,,OH,Franklin,United States,Non-Profit
eb196d81-187a-f111-ab0e-000d3a3408fb,vfdQcgs+KDzlgmhEHP+/xFWC3bb1Ogbpn9ilt2RQl4xLTOEM6Mx5qrECEgUecsB9vdjr+gPf9cBx+fxHR7bQdQ==,2026-08-10 20:39:11,Freestore Foodbank,206-555-1010,Cincinnati,1141 Central Parkway,,OH,Hamilton,United States,Non-Profit
9abebc72-8966-f111-ab0d-00224805fad6,IgCYe85aWNiCLeEr9Mjceb88duKvVAyy0pxnhUAMPGzUX/xl1WterMNT1F/irHRLQgZwhGZDb8PEZ7+WuSYG3A==,2026-08-10 20:47:46,Food Bank of the Southern Tier,(208) 573-0919,Elmira,388 Upper Oakwood Avenue,,NY,Chemung,United States,Non-Profit
219b61e1-135a-f111-a825-00224805f705,ErR7+HsX8w1GWiZrcHHuEJMNBe0H52JSMTTLXv0NSRfjrNH0hpFuTEZpuaWUXhR264lFAaFynw+1nPnC6SDhnw==,2026-08-10 20:49:41,Food Bank For New York City,(970) 4960115,Bronx,355 Food Center Drive,,NY,Bronx,United States,Non-Profit
5307b43e-145a-f111-a825-00224805f705,Obf/oD13ib9aezPHj8hWCXMtlAHQbjIX1wpg/ek6OoheC5C9C7iTXh+51eIlhplSiEDCnh/v+q/00MlmXWD6pA==,2026-08-10 20:47:45,City Harvest,(320) 892-6599,Brooklyn,150 52nd Street,,NY,Kings,United States,Non-Profit
055e7839-ee94-f111-b8db-000d3a340666,Eyk5Wki8plnVLLUyWbZS0RvRpSSGmWBpI8waUEpiqkbkk3FRXJd+cBXwGpH7aK+ltTS+DVRXf8JXUIftnIpkAg==,2026-08-10 20:39:10,Regional Food Bank of Northeastern New York,,Latham,965 Albany Shaker Road,,NY,Albany,United States,Non-Profit
f64cd9b8-195a-f111-a826-00224805f122,jU/ZRnl7FPhtOprq5qLfr4fW4+9ts1oNXhcKSGJD9s9ap60v2Fy8Fdeq6NSPSyQkJyaeMqdSZUsSrDZ6ewHG/g==,2026-08-10 20:47:46,Feeding Westchester,(468) 5395454,Elmsford,200 Clearbrook Road,,NY,Westchester,United States,Non-Profit
fa6cd086-125a-f111-a825-7ced8d711c90,YmNdBlRM+IX8VC2ZnsgdQFjlsuv7z7xOD2E038b/+QlHx2u6M/WX8nSonhMkrKbsFpqQU4JAPHHZim337etJPw==,2026-08-10 20:47:46,Connecticut Foodshare,(611) 791-6948,Wallingford,2 Research Parkway,,CT,New Haven,United States,Non-Profit
b7c7213c-ee94-f111-b8dc-000d3a340c29,Zq8VKHyP3Wp0BILi7tvJaP0BrU8zt3dgwIqcJUXthahf1xSnHwQeSRZW2O81c5+9C/AilR3DOTnJTkdh5SeVIg==,2026-08-10 20:39:10,Rhode Island Community Food Bank,,Providence,200 Niantic Avenue,,RI,Providence,United States,Non-Profit
416297b3-d86f-f111-9b48-000d3a3d3872,c5EmIrnaRdkuxqVMJ6aKJbwidvtQ6EZa5u4efDHIEf6pOLY02iz1KhaHF5qIsmgoj6Tmb7fvHCrlJ+6cy/3Hag==,2026-08-10 20:39:10,Greater Boston Food Bank,(540) 904-8084,Boston,70 S Bay Avenue,,MA,Suffolk,United States,Non-Profit
4356b259-195a-f111-a826-00224805f122,o1n7kkuHs+3P2BPW4fjZkUyvnAKQksIi9PWZ3g+LDZGmHn51zWW5DCHSA/nDxsTm4Wp0Eeuj1S3rVEHFWYtAJg==,2026-08-10 20:47:45,Vermont Foodbank,(608) 731-5354,Barre,33 Parker Road,,VT,Washington,United States,Non-Profit
e5137bce-8663-f111-ab0d-00224805f8ba,XU951n8M0yvrhw0PyB5X3NDPXfH4A03Hbyd+jYOh0Fjj8CSHMiGxDNqh2uT/MQWva6cKbr4nb10isjm9CPSbsw==,2026-08-10 20:49:41,New Hampshire Food Bank,+44 239 847 9595,Manchester,700 East Industrial Park Drive,,NH,Hillsborough,United States,Non-Profit
51351a42-ee94-f111-b8dc-000d3a340c29,KHU0NO83A2f5BXt16xujEtHblnF+gU5rd1eU59BxBIbBjsMhmM5ifC7hNbbaD5JOqIx6nFsLccy94Ol5SADfbQ==,2026-08-10 20:39:11,Good Shepherd Food Bank,,Auburn,3121 Hotel Road,,ME,Androscoggin,United States,Non-Profit
11866b70-7f6b-f111-9b47-6045bd484aff,fm6p01D+TmvHgNhETwQD+sGtzBtBVMZyvqaT3xFaE2+No6w3KDjQG4TYMayRWu7Dda4qPaN3oTnou1opzk4GvQ==,2026-08-10 20:47:45,Feed More WNY,,Buffalo,100 James E Casey Drive,,NY,Erie,United States,Non-Profit
dcd574d1-635f-f111-a826-00224805fc48,QyGZjgzY5itXkCHWkhNr2bS20HCISqzwD96zh83yLi1nHDD9TnPzQRRziWkJ2O10oVp5a36eV654KbZukrs6iw==,2026-08-10 20:47:45,Foodlink,(480) 642-6552,Rochester,1999 Mount Read Boulevard,,NY,Monroe,United States,Non-Profit
f66cd086-125a-f111-a825-7ced8d711c90,WFiBkatqyVdPKEEavnsVOC4kX+DzDve8yP7PoQzORB7+lhMWr83WfZVF1GIOWlURX3P/cJ3fSilxB44KfWJe/w==,2026-08-10 20:49:41,Central New York Food Bank,(368) 9101218,Syracuse,7066 Interstate Island Road,,NY,Onondaga,United States,Non-Profit
d2feb6cd-135a-f111-a825-00224805f705,q3Exqwcb/v2LmC4J/FPW3+uwwIJxMtFbzTh0x+b82fDT8KA6ZIOagnNT3nCtwmadXqO2C6xYVi3CewdhkwuIzQ==,2026-08-10 20:47:46,Blue Ridge Area Food Bank,(517) 7617869,Verona,96 Laurel Hill Road,,VA,Augusta,United States,Non-Profit
ca9961e1-135a-f111-a825-00224805f705,eIK062dK4L+NJ1cbSojNF1CdTsWuUwIZojJ1QPeS4OwcPJR6XpoYfHjsq04bXQbF+PAEMH4u9AWBXkIIbDjDhw==,2026-08-10 20:49:41,Feed More Virginia,(297) 5555129,Richmond,1415 Rhoadmiller Street,,VA,Richmond,United States,Non-Profit
bb0154bd-1a5a-f111-a826-00224805f122,aHVDC5cx8NvZ2NQ7/bcPp+uIpy8HE/3sQQuk81Gl0mEDMNULsW+uzZs9UHNXjqqPia0IwtXjMN7zvmgnRmELQQ==,2026-08-10 20:47:45,Foodbank of Southeastern Virginia and the Eastern Shore,(929) 759-6069,Norfolk,800 Tidewater Drive,,VA,Norfolk,United States,Non-Profit
e0b69c45-d569-f111-ab0e-00224805f8ba,NEwp3vdWAqs7jQEJ3u9lRqURSmaZus9dL8dtJOsYlwjQQRU9kSjNrKjdMddh/DI0bB4sXFm71K4/UWmSUvH7jQ==,2026-08-10 20:49:41,Manna Food Center,+1 540 863 5532,Gaithersburg,9311 Gaither Road,,MD,Montgomery,United States,Non-Profit
b4cea450-cb0c-ea11-a813-000d3a1b1223,bpUdFgD7QrsRSXZC7vqk2offtjJpfclluV4+XFfVp6grvRNGwDsksa7oXE8cKMdZXQnOA62W8Hsmxi0lcbU5dg==,2026-08-10 20:39:10,Dare to Care Food Bank,(346) 3614739,Louisville,5803 Fern Valley Road,,KY,Jefferson,United States,Non-Profit
9a7ed133-eb5d-f111-a826-00224805f8a7,N3u7HREbWgFZgr1w5k1GXdtRsvVfqodymEPFMGIdvQLZGeoWAtZKH1WP5Q2bjBVD4GEod91aGcJYbsD2pz3JUA==,2026-08-10 20:47:46,Gods Pantry Food Bank,(906) 751-1498,Lexington,1685 Jaggie Fox Way,,KY,Fayette,United States,Non-Profit
58d858e7-135a-f111-a825-00224805f705,N/NIQYdr61oH8KlxHqwJpv+fhoLCNg0uPDPBwhcLW4liCBuzaF4a4pL+camazyhYoidX9YNYm1NKkoblKS+LDA==,2026-08-10 20:49:02,Feeding America Eastern Wisconsin,(913) 8100795,Milwaukee,1700 W Fond du Lac Avenue,,WI,Milwaukee,United States,Non-Profit
340251ed-135a-f111-a825-00224805f705,a/ZAHQGOVzgT+DpddGRkx4OdgNyKABieK1127bzvgTb+x5ALC39a/splNBwuHKejz2jMSoGKY9svf/yZAJxPNQ==,2026-08-10 20:50:10,Greater Chicago Food Depository,(387) 9575547,Chicago,4100 W Ann Lurie Place,,IL,Cook,United States,Non-Profit
74d558e7-135a-f111-a825-00224805f705,zgcFJ40DESeLJoNf4UW92EEsSMqcLFIRUktOa0XTiuGKpKb1l4CeMDE5sHi+9NcuLkFHJI6GFhy6EIbbPZmu5Q==,2026-08-10 20:49:41,Northern Illinois Food Bank,(727) 9979404,Geneva,273 Dearborn Court,,IL,Kane,United States,Non-Profit
8c0251ed-135a-f111-a825-00224805f705,syyPdOofTCRme66ZegsZNaJ17D6I5o3dzxOX/q+paGyk73hDZPNAOIWz2MKPvUbwBNvBb30yEFvebQBzNPFBzQ==,2026-08-10 20:48:25,Gleaners Community Food Bank,(146) 7955716,Detroit,2131 Beaufait Street,,MI,Wayne,United States,Non-Profit
aba5c66e-ed5d-f111-a826-00224805f8a7,wCOFd0sEG0PCpdxw+9F6jzMlqzjotu6/12SthrRCVkz/SKM5yo7I50f8w3FsRnr4LTHkPzGj4thZn/4POrfdpA==,2026-08-10 20:48:25,Forgotten Harvest,(254) 1489522,Oak Park,21800 Greenfield Road,,MI,Oakland,United States,Non-Profit
6cd758e7-135a-f111-a825-00224805f705,KYTTjUmPDhonRGCabIj/KYPdZ90QlolM/wMSynsRUvrq7vnvtczQKnU81YWdBoHH3CduNJ6mv3LugXPV0LcREQ==,2026-08-10 20:48:24,Food Gatherers,(823) 9468399,Ann Arbor,1 Carrot Way,,MI,Washtenaw,United States,Non-Profit
199b61e1-135a-f111-a825-00224805f705,H+xx1sOqxktzG0cX6JBrvE4mi8r20Ss/gpZjEyIzel9C+SGiMprUfPqX+uMz2wK4HsJ0jPYdMp2n1MRCsLcV+w==,2026-08-10 20:50:09,Second Harvest Heartland,(494) 5198208,Brooklyn Park,7101 Winnetka Avenue N,,MN,Hennepin,United States,Non-Profit
858ef6c8-145a-f111-a825-00224805f705,RvrvfmSdxX0SIYIILeyAYYIiMjcmpDrmENH2oq3KJgwcJpRfNLLgPbrnI0IySldhllNDZaDnO6wLY6oB18KZVw==,2026-08-10 20:50:10,Channel One Regional Food Bank,(705) 3082824,Rochester,131 35th Street SE,,MN,Olmsted,United States,Non-Profit
abbe8620-eb5d-f111-a826-00224805f8a7,3UiXRi8QqhBkm5K8lYDYdVMXJDL5OhXrT212vPbX2GbqMrLOGwSLPx8mxzRe3oed9z7myUnjG2MdudnVNYBU+g==,2026-08-10 20:49:01,Food Bank of Iowa,(989) 3724000,Des Moines,2220 E 17th Street,,IA,Polk,United States,Non-Profit
ef59d033-195a-f111-a826-00224805f122,wxgQtkCZYZS4iKUrrF/9vGExoCqxwnipx1eOW1bX+xvle5iLRsP1a/kcF1K8B+c2nMuK5SFf4+UT6Aa7jJcXAA==,2026-08-10 20:48:25,Harvesters Community Food Network,(416) 7852015,Kansas City,3801 Topping Avenue,,MO,Jackson,United States,Non-Profit
549a61e1-135a-f111-a825-00224805f705,r3XlJ4TVPMdgYBoW1YsXAfb2jAYFPaDs2Iin5omwHAQ6KBFPwvnge/saWBz5GjDpGiuQ+nbZkgIXB6yLKnKPBw==,2026-08-10 20:49:02,St. Louis Area Foodbank,(468) 6588775,Bridgeton,70 Corporate Woods Drive,,MO,St. Louis,United States,Non-Profit
280251ed-135a-f111-a825-00224805f705,8Rxw1b6RubgcQb5HbTHtsWzFHwrVxfzVeDgOUUAiW9D8jxJ+mX2X7TjGlidwYTGz+SP44febQWs0GkMGK1W9SQ==,2026-08-10 20:47:46,Food Bank for the Heartland,(502) 4412718,Omaha,10525 J Street,,NE,Douglas,United States,Non-Profit
d5d658e7-135a-f111-a825-00224805f705,PHbUsLxQvCfFVk4nI33AUPnuZkDs2Jc72S/w2sB6lTLPvo38S5NRS+iQDqsAVWqk14A755L4TIbm+L0+sZhHWw==,2026-08-10 20:48:24,Wichita Falls Area Food Bank,(270) 9118970,Wichita Falls,1230 Midwestern Parkway,,TX,Wichita,United States,Non-Profit
e7e654a3-195a-f111-a826-00224805f122,LvITFaYDRAkqY5lRz8r2KmLrL9NoDVW1mx0ywN97RUSwfD0E7yorj+Xn6H7M6XZu6jbJnnosrrAk/Hd3bIg0GQ==,2026-08-10 20:49:02,North Texas Food Bank,(183) 8092410,Plano,3677 Mapleshade Lane,,TX,Collin,United States,Non-Profit
e99a61e1-135a-f111-a825-00224805f705,+bSYw9JzHcXxNr8308TnTKc04Smou5or6tXzma0Ib+6aHSAgFyVoHj+ZSpYzAOwEYjK5JSg7gd3hXIJoMXQ4IQ==,2026-08-10 20:50:09,Central Texas Food Bank,(613) 1060267,Austin,6500 Metropolis Drive,,TX,Travis,United States,Non-Profit
f44f1505-5d6e-f111-9b47-6045bd484aff,GbHZbZ7STrUxgRYFC1l+aE+3Yo4n0FhK+LcMlWYF5EwHcnoGpYkKtF3suobN/1pvYrKJk1sghNuDf4FETO8B6w==,2026-08-10 20:48:25,Houston Food Bank,(156) 1765740,Houston,535 Portwall Street,,TX,Harris,United States,Non-Profit
dbd758e7-135a-f111-a825-00224805f705,nRVekPTVnPgFRjOcQSfmIqXfr+ruuNMdf9xSgTVVzWNNPS6vSrFJYaGFO/qGRnYbFTKTzfa/BSf0A1fznT106w==,2026-08-10 20:49:01,San Antonio Food Bank,(435) 4957020,San Antonio,5200 Enrique M Barrera Parkway,,TX,Bexar,United States,Non-Profit
d3feb6cd-135a-f111-a825-00224805f705,1fM1XxSuTYfCmeiKeEkIN6woylH5Wd6bqUPMBpeWNQ9a4obnBVPXr9deYwwloYMYtiXs4x4i+lhftLUAcAgZ2w==,2026-08-10 20:50:10,Tarrant Area Food Bank,(341) 5303520,Fort Worth,2600 Cullen Street,,TX,Tarrant,United States,Non-Profit
f86cd086-125a-f111-a825-7ced8d711c90,UtpPVMhBP9L182TJ5G/Svh+lsS+iF2uFwztcQoRjuczBVd9aPVFoSQ3eOfyXFm/cKbNVhwE3QFu5kJubLmNaIA==,2026-08-10 20:47:46,Feeding Tampa Bay,(140) 6187395,Tampa,4702 Transport Drive,,FL,Hillsborough,United States,Non-Profit
4cf16c1c-e96b-f111-ab0f-00224805fc48,GLn24rv6tE0MmBO6M7EwYxUUqgcAb1uMBcDNDneoHVIN6wTXkHEDJ+PgA6s5XuIo/bXbRob3mKPVBe0kfuZ7+w==,2026-08-10 20:48:25,Second Harvest Food Bank of Central Florida,(235) 8764777,Orlando,411 Mercy Drive,,FL,Orange,United States,Non-Profit
9fc74f02-d469-f111-ab0e-00224805f8ba,JtJj2lMzPS3+FHG1Kz6GK+veKC0pQe7fn1i8bdfOkcSwZKS2mC7bGDSwi39rERH9RdCoRL7+4onpy+aUK9ZD2w==,2026-08-10 20:48:26,Feeding South Florida,+61 331 827 6184,Pembroke Park,2501 SW 32 Terrace,,FL,Broward,United States,Non-Profit
f99a61e1-135a-f111-a825-00224805f705,87merzDiTsngk6sKgCEEtFvv+MAOp+7N0pbEMZLW+Oosvi/bPAC4GhXeH97pNP2r+ghOcuxEUOWwQ9rkhZiiCA==,2026-08-10 20:49:02,Atlanta Community Food Bank,(637) 2735261,East Point,3400 N Desert Drive,,GA,Fulton,United States,Non-Profit
64d858e7-135a-f111-a825-00224805f705,lT//1UCbahxWo1zLGHfQrcRoTCi2tNF7C2YTYql/mw2TLjFGouPNnsbzfyW91CyuYrfZaZFG6vXiohcaKHqVZw==,2026-08-10 20:49:41,Golden Harvest Food Bank,(225) 1768510,Augusta,3310 Commerce Drive,,GA,Richmond,United States,Non-Profit
93d558e7-135a-f111-a825-00224805f705,XGeZI7Erbr48wAhvDQqexavfOUWIGQ3vL7xhdx84vBbHapAdZ+N4XcSxBAFAKqsyl10V4ob2xfFNmQ9llAnBeQ==,2026-08-10 20:48:25,Second Harvest Food Bank of Metrolina,(727) 5883107,Charlotte,500 Spratt Street B,,NC,Mecklenburg,United States,Non-Profit
bdc7213c-ee94-f111-b8dc-000d3a340c29,cZlUzsGHNWBDcGr3S9he6E12TXSs3FGgLgp78IMe37bsh3ycYO0YR88UqYtTnb2va+3cOl72qn43D1R4ta08mQ==,2026-08-10 20:39:10,Food Bank of Central and Eastern North Carolina,,Raleigh,1924 Capital Boulevard,,NC,Wake,United States,Non-Profit
38d658e7-135a-f111-a825-00224805f705,o5iEn3kcoI0kOa7yd3K21ZdxEC20LtU23a2Jl3c3HV9Sla0FOhomCaR1Ihy+CnFcOC/9Mkq3HS4yKDcO1RvLSQ==,2026-08-10 20:49:41,Lowcountry Food Bank,(972) 8243302,North Charleston,2864 Azalea Drive,,SC,Charleston,United States,Non-Profit
c4b1c6fe-ed6b-f111-9b47-6045bd484aff,ShdZsQcJ53hcMTfeHVqKrtKbwmwwNkryJLjPSlMsyd6c0DU8Inf/EXQxnmhbVV+Eemo1FZdvEQizIF+yEukjUA==,2026-08-10 20:50:11,Harvest Hope Food Bank,(831) 8839796,Columbia,2220 Shop Road,,SC,Richland,United States,Non-Profit
b1d658e7-135a-f111-a825-00224805f705,rVF6OWnEd3UINrNOHYAIG1m1MzJ94WTBKPYm73FzY1KUGNuVfCnSziTw8S9izULSWMhLk0rYlihOvbt5oTHalw==,2026-08-10 20:48:25,Manna FoodBank,(943) 5186640,Asheville,627 Swannanoa River Road,,NC,Buncombe,United States,Non-Profit
02d658e7-135a-f111-a825-00224805f705,MwyQqPm/4y77rhfswcBfdFGpC89QAry3yAZCyJZnux+uTR/zyC90BEbVvhes8ZQN7QTEwuWjQdoNYl3Z3HuHyA==,2026-08-10 20:49:41,Community Food Bank of Central Alabama,(721) 7371402,Birmingham,107 Walter Davis Drive,,AL,Jefferson,United States,Non-Profit
f9d758e7-135a-f111-a825-00224805f705,5wkTySb741mm22jFE1FQ7Ukj08x06crpRNlU/p7XAaeHrh7VqR59KbHeFUFsgU+yQwomHPjXgC5gib04l8eR/A==,2026-08-10 20:50:10,Mid-South Food Bank,(317) 5402903,Memphis,3865 S Perkins Road,,TN,Shelby,United States,Non-Profit
00d858e7-135a-f111-a825-00224805f705,8TK4tG9IZnkv7VMXqILd3FJvwibSbjuLXSrsU8CHvcJgiRN0JMLqUhWwnh693krPm2Q5IRFTjrrjkGk9DcGd5A==,2026-08-10 20:49:41,Second Harvest Food Bank of Middle Tennessee,(918) 1678417,Nashville,331 Great Circle Road,,TN,Davidson,United States,Non-Profit
4e99bc73-195a-f111-a826-00224805f122,0oniOdkX+NpKPNG0v+hX73eD6fGZFDXUbNj/YFD0rKPrMJlV+k7nypiP+uodKDu6ggDiaGe7XUIUw79aUR9i9A==,2026-08-10 20:50:09,Arkansas Foodbank,(278) 4651059,Little Rock,4301 W 65th Street,,AR,Pulaski,United States,Non-Profit
