accountid,territoryid,territory_label,name
b7f4ca47-826b-f111-9b47-6045bd484aff,4a227e10-ba91-f111-b8db-000d3a340666,Mid-Atlantic,Frederick County Food Bank
eb196d81-187a-f111-ab0e-000d3a3408fb,ebc45ac9-0d5a-f111-a825-00224805f705,Midwest,Freestore Foodbank
88cea450-cb0c-ea11-a813-000d3a1b1223,4a227e10-ba91-f111-b8db-000d3a340666,Mid-Atlantic,Garden State Egg Cooperative
8c0251ed-135a-f111-a825-00224805f705,ebc45ac9-0d5a-f111-a825-00224805f705,Midwest,Gleaners Community Food Bank
9a7ed133-eb5d-f111-a826-00224805f8a7,3579bfe2-0d5a-f111-a825-00224805f705,Southeast,Gods Pantry Food Bank
64d858e7-135a-f111-a825-00224805f705,3579bfe2-0d5a-f111-a825-00224805f705,Southeast,Golden Harvest Food Bank
51351a42-ee94-f111-b8dc-000d3a340c29,e8ca75dc-0d5a-f111-a825-00224805f705,Northeast,Good Shepherd Food Bank
416297b3-d86f-f111-9b48-000d3a3d3872,e8ca75dc-0d5a-f111-a825-00224805f705,Northeast,Greater Boston Food Bank
340251ed-135a-f111-a825-00224805f705,ebc45ac9-0d5a-f111-a825-00224805f705,Midwest,Greater Chicago Food Depository
ce9961e1-135a-f111-a825-00224805f705,ebc45ac9-0d5a-f111-a825-00224805f705,Midwest,Greater Cleveland Food Bank
c89961e1-135a-f111-a825-00224805f705,4a227e10-ba91-f111-b8db-000d3a340666,Mid-Atlantic,Greater Pittsburgh Community Food Bank
cc9961e1-135a-f111-a825-00224805f705,4a227e10-ba91-f111-b8db-000d3a340666,Mid-Atlantic,Greater Washington County Food Bank
aa1969ee-145a-f111-a825-00224805f705,4a227e10-ba91-f111-b8db-000d3a340666,Mid-Atlantic,Happy Valley Cage-Free Farms
c4b1c6fe-ed6b-f111-9b47-6045bd484aff,3579bfe2-0d5a-f111-a825-00224805f705,Southeast,Harvest Hope Food Bank
ef59d033-195a-f111-a826-00224805f122,ebc45ac9-0d5a-f111-a825-00224805f705,Midwest,Harvesters Community Food Network
e9cc6f3c-ee94-f111-b8dc-000d3a3408fb,4a227e10-ba91-f111-b8db-000d3a340666,Mid-Atlantic,Helping Harvest Food Bank
d0feb6cd-135a-f111-a825-00224805f705,4a227e10-ba91-f111-b8db-000d3a340666,Mid-Atlantic,Hershey Food Bank and Community Outreach
f44f1505-5d6e-f111-9b47-6045bd484aff,3579bfe2-0d5a-f111-a825-00224805f705,Southeast,Houston Food Bank
569a61e1-135a-f111-a825-00224805f705,ebc45ac9-0d5a-f111-a825-00224805f705,Midwest,Idaho Foodbank
87a52514-f35d-f111-a826-00224805f8a7,4a227e10-ba91-f111-b8db-000d3a340666,Mid-Atlantic,Juniata River Family Farms
68b1bcbb-145a-f111-a825-00224805f705,4a227e10-ba91-f111-b8db-000d3a340666,Mid-Atlantic,Keystone Cage-Free Farms
729a61e1-135a-f111-a825-00224805f705,4a227e10-ba91-f111-b8db-000d3a340666,Mid-Atlantic,Lancaster County Food Hub
6d8bf7d6-1a5a-f111-a826-00224805f122,4a227e10-ba91-f111-b8db-000d3a340666,Mid-Atlantic,Lancaster Valley Egg Farms
616bf4a9-195a-f111-a826-00224805f122,4a227e10-ba91-f111-b8db-000d3a340666,Mid-Atlantic,Lebanon County Poultry Farms
38d658e7-135a-f111-a825-00224805f705,3579bfe2-0d5a-f111-a825-00224805f705,Southeast,Lowcountry Food Bank
e0b69c45-d569-f111-ab0e-00224805f8ba,4a227e10-ba91-f111-b8db-000d3a340666,Mid-Atlantic,Manna Food Center
b1d658e7-135a-f111-a825-00224805f705,3579bfe2-0d5a-f111-a825-00224805f705,Southeast,Manna FoodBank
b9c7213c-ee94-f111-b8dc-000d3a340c29,4a227e10-ba91-f111-b8db-000d3a340666,Mid-Atlantic,Maryland Food Bank
abd658e7-135a-f111-a825-00224805f705,ebc45ac9-0d5a-f111-a825-00224805f705,Midwest,Mid-Ohio Food Collective
f9d758e7-135a-f111-a825-00224805f705,3579bfe2-0d5a-f111-a825-00224805f705,Southeast,Mid-South Food Bank
a4cea450-cb0c-ea11-a813-000d3a1b1223,4a227e10-ba91-f111-b8db-000d3a340666,Mid-Atlantic,Mifflin Ridge Egg Co-op
e5137bce-8663-f111-ab0d-00224805f8ba,e8ca75dc-0d5a-f111-a825-00224805f705,Northeast,New Hampshire Food Bank
5dd558e7-135a-f111-a825-00224805f705,4a227e10-ba91-f111-b8db-000d3a340666,Mid-Atlantic,New Hope Ministries
e35901bf-195a-f111-a826-00224805f122,4a227e10-ba91-f111-b8db-000d3a340666,Mid-Atlantic,Nittany Valley Farm Partners
e7e654a3-195a-f111-a826-00224805f122,3579bfe2-0d5a-f111-a825-00224805f705,Southeast,North Texas Food Bank
74d558e7-135a-f111-a825-00224805f705,ebc45ac9-0d5a-f111-a825-00224805f705,Midwest,Northern Illinois Food Bank
fe6cd086-125a-f111-a825-7ced8d711c90,4a227e10-ba91-f111-b8db-000d3a340666,Mid-Atlantic,Northumberland Poultry Cooperative
3fd758e7-135a-f111-a825-00224805f705,ebc45ac9-0d5a-f111-a825-00224805f705,Midwest,Oregon Food Bank
a0d558e7-135a-f111-a825-00224805f705,4a227e10-ba91-f111-b8db-000d3a340666,Mid-Atlantic,Penn Dutch Protein Farms
3db6fe37-636a-f111-ab0e-00224805fad6,4a227e10-ba91-f111-b8db-000d3a340666,Mid-Atlantic,Philabundance
055e7839-ee94-f111-b8db-000d3a340666,e8ca75dc-0d5a-f111-a825-00224805f705,Northeast,Regional Food Bank of Northeastern New York
00d658e7-135a-f111-a825-00224805f705,3579bfe2-0d5a-f111-a825-00224805f705,Southeast,Regional Food Bank of Oklahoma
b7c7213c-ee94-f111-b8dc-000d3a340c29,e8ca75dc-0d5a-f111-a825-00224805f705,Northeast,Rhode Island Community Food Bank
4ad758e7-135a-f111-a825-00224805f705,ebc45ac9-0d5a-f111-a825-00224805f705,Midwest,Roadrunner Food Bank
dbd758e7-135a-f111-a825-00224805f705,3579bfe2-0d5a-f111-a825-00224805f705,Southeast,San Antonio Food Bank
4cf16c1c-e96b-f111-ab0f-00224805fc48,3579bfe2-0d5a-f111-a825-00224805f705,Southeast,Second Harvest Food Bank of Central Florida
6027f9e2-1a5a-f111-a826-00224805f122,4a227e10-ba91-f111-b8db-000d3a340666,Mid-Atlantic,Second Harvest Food Bank of Lehigh Valley and Northeast Pennsylvania
93d558e7-135a-f111-a825-00224805f705,3579bfe2-0d5a-f111-a825-00224805f705,Southeast,Second Harvest Food Bank of Metrolina
00d858e7-135a-f111-a825-00224805f705,3579bfe2-0d5a-f111-a825-00224805f705,Southeast,Second Harvest Food Bank of Middle Tennessee
199b61e1-135a-f111-a825-00224805f705,ebc45ac9-0d5a-f111-a825-00224805f705,Midwest,Second Harvest Heartland
dbdd0b93-4a1b-4848-b83a-39352f6b2e7a,ebc45ac9-0d5a-f111-a825-00224805f705,Midwest,Second Harvest Inland Northwest
034e0f94-b05e-f111-a826-00224805f03e,4a227e10-ba91-f111-b8db-000d3a340666,Mid-Atlantic,Share Food Program
026dd086-125a-f111-a825-7ced8d711c90,4a227e10-ba91-f111-b8db-000d3a340666,Mid-Atlantic,Shenandoah Valley Egg Producers
f46cd086-125a-f111-a825-7ced8d711c90,4a227e10-ba91-f111-b8db-000d3a340666,Mid-Atlantic,Snyder County Egg Producers
549a61e1-135a-f111-a825-00224805f705,ebc45ac9-0d5a-f111-a825-00224805f705,Midwest,St. Louis Area Foodbank
cae1e1e1-2361-f111-ab0c-00224805fc48,ebc45ac9-0d5a-f111-a825-00224805f705,Midwest,St. Marys Food Bank
e3b45d9d-f94e-f111-bec6-00224805f122,4a227e10-ba91-f111-b8db-000d3a340666,Mid-Atlantic,Susquehanna Poultry Cooperative
d3feb6cd-135a-f111-a825-00224805f705,3579bfe2-0d5a-f111-a825-00224805f705,Southeast,Tarrant Area Food Bank
fc6cd086-125a-f111-a825-7ced8d711c90,4a227e10-ba91-f111-b8db-000d3a340666,Mid-Atlantic,Twin Valley Poultry Farms
70935066-d569-f111-ab0e-00224805f8ba,ebc45ac9-0d5a-f111-a825-00224805f705,Midwest,Utah Food Bank
4356b259-195a-f111-a826-00224805f122,e8ca75dc-0d5a-f111-a825-00224805f705,Northeast,Vermont Foodbank
7222d402-f55d-f111-a826-00224805f2e4,4a227e10-ba91-f111-b8db-000d3a340666,Mid-Atlantic,Water Street Mission Food Distribution
d092cbd9-bb5e-f111-a826-00224805fad6,4a227e10-ba91-f111-b8db-000d3a340666,Mid-Atlantic,Weinberg Northeast Regional Food Bank
04a84fee-9992-f111-b8dc-000d3a340079,4a227e10-ba91-f111-b8db-000d3a340666,Mid-Atlantic,Westmoreland Food Bank
d5d658e7-135a-f111-a825-00224805f705,3579bfe2-0d5a-f111-a825-00224805f705,Southeast,Wichita Falls Area Food Bank
006dd086-125a-f111-a825-7ced8d711c90,4a227e10-ba91-f111-b8db-000d3a340666,Mid-Atlantic,York County Food Bank
43c7213c-ee94-f111-b8dc-000d3a340c29,4a227e10-ba91-f111-b8db-000d3a340666,Mid-Atlantic,York Heritage Farms
